name,location_area_zone,date,glass_bags,mixed_bags,plastic_bags ,paper_bags,seg_lf_bags,sanitory_bags,comments
,Prayatna,10/01/16,0,0,2,2,0,3,
Kiosk Cycle Service,Solar Kitchen,10/01/16,0,3,0,0,0,1,Jan not complete
Auroville Library,Auroville Library,10/01/16,0,0,2,3,0,1,
Courage,Courage,10/01/16,1,1,6,6,0,1,
Solar kitchen,Solar Kitchen,10/01/16,1,0,4,4,0,1,
CSR,Auroshilpam,11/01/16,0,4,2,0,0,0,
Earth Institute,Auroshilpam,11/01/16,1,2,2,2,0,0,
Inside India,Auroshilpam,11/01/16,0,0,0,3,0,0,
AEP,Auroshilpam,11/01/16,1,2,4,3,0,0,
Aurosarjan,Auroshilpam,11/01/16,0,0,14,8,0,8,
Auro Sunshine,Auroshilpam,11/01/16,0,0,3,3,0,0,
Naturellement,Udyogam,11/01/16,2,3,3,3,0,1,
Afsanah GH,Kottakarai,11/01/16,0,3,2,2,0,0,
Sincerity ,Sincerity ,11/01/16,1,3,3,3,0,1,
Creativity,Creativity,11/01/16,1,1,5,5,0,1,
Visitor Center,Visitor Center,22/02/16,2,2,7,8,0,1,
Mitra,Mitra,23/02/16,0,1,5,5,0,2,
Inspiration,Inspiration,23/02/16,1,0,6,6,0,3,
Kailash,Kailash,23/02/16,1,0,4,4,0,3,
Realization,Realization,23/02/16,1,2,3,3,0,1,
Reve GH,Reve,23/02/16,1,7,5,5,0,1,
Courage,Courage,23/02/16,0,0,4,4,0,1,
Solar kitchen,Solar Kitchen,23/02/16,2,0,4,4,0,1,
Maitreye 2,Residential Zone,24/02/16,0,2,7,7,2,2,Feb not complete
Maitreye 1,Residential Zone,24/02/16,0,2,6,6,1,0,
Michael (Ritam),Ritam Farm,24/02/16,1,0,4,0,0,3,
Michael (Ritam),Ritam Farm,24/02/16,0,1,0,0,0,0,
Aurosarjan,Auroshilpam,24/02/16,2,0,10,7,0,8,
Celebration NC,Celebration,24/02/16,1,0,4,4,0,0,
Verite GH,Kottakarai,24/02/16,1,0,4,4,0,4,
Gerard,Sukhavati,24/02/16,1,0,2,2,0,0,
Alan and Annmarie,Samriddhi,24/02/16,1,0,3,4,0,1,
Tamil Heritage,Tamil Heritage,25/02/16,0,0,2,2,0,0,
Tibetan Pavillon,International Zone,25/02/16,0,1,5,5,0,1,
Surrender,Surrender,25/02/16,3,3,8,6,0,2,
Julia,Shanti,25/02/16,2,2,1,1,0,0,
Health Center,Aspiration,25/02/16,2,0,3,7,0,0,
Happiness,Happiness,25/02/16,1,0,2,2,0,1,
Ilona,Felicity,25/02/16,1,1,2,2,0,0,
AV Foundation,Town Hall,25/02/16,0,2,1,3,0,0,
Prayatana ,Prayatna,26/02/16,1,1,2,2,0,0,
Arati 3A,Arati,26/02/16,1,1,2,2,0,1,
Vikas,Vikas,26/02/16,1,2,8,8,0,1,
Udavi School,Udavi School,27/02/16,0,6,3,3,0,1,
Thomas,Gratitude,27/02/16,0,4,0,0,0,0,
Grace,Grace,27/02/16,1,2,7,7,0,2,
Town Hall,Town Hall,27/02/16,1,4,8,8,0,4,
Eternity,Eternity,27/02/16,1,15,4,4,0,0,
Raphael,Srima,27/02/16,1,0,0,1,0,0,
Raphael,Srima,27/02/16,1,5,4,4,0,0,
AV Paper,Aspiration,29/02/16,0,0,2,8,0,0,
Pour Tous,Aspiration,29/02/16,0,0,7,7,0,0,
Aspiration Community,Aspiration,29/02/16,0,2,2,4,0,0,
AV Press,Aspiration,29/02/16,0,0,2,6,0,0,
Arka,Arka,29/02/16,1,2,3,3,0,2,
Johnny,Fertile,29/02/16,2,0,4,0,0,2,
Baraka,Baraka,29/02/16,0,1,6,6,0,0,
Luminosity,Luminosity,29/02/16,1,11,2,3,0,2,
Visitor Center,Visitor Center,29/02/16,1,2,10,10,0,1,
Upasana,Auroshilpam,04/03/16,0,0,2,2,0,1,DP is not transscribed into the file
Pony Farm,Pony Farm,04/03/16,0,6,0,0,0,0,
Quiet Community,Quiet,05/03/16,1,2,2,2,0,0,Stickers ?
Quiet Healing Center,Quiet,05/03/16,0,0,3,0,0,6,Paybacks?
Hemanth ,Auromodele,05/03/16,0,3,0,0,0,0,RS instead of whole bags not in the file
Dr Uma,Auromodele,05/03/16,0,0,1,1,0,0,G = Glass?
Domani 1,Auromodele,05/03/16,0,3,0,0,0,0,LF = Landfill?
Domani 1,Auromodele,05/03/16,0,2,1,1,0,1,
Djaima,Djaima,05/03/16,0,8,0,0,0,0,
Humility,Humility,05/03/16,1,3,4,3,0,0,
AV Dizine,Kottakarai,05/03/16,1,1,3,8,0,0,
Saracon,Kottakarai,05/03/16,0,1,4,4,0,0,
Angiras Garden,Angiras Garden,05/03/16,1,2,3,3,0,0,
Jocelyn,Revena,03/03/16,0,4,0,0,0,0,
Sharnga,Sharnga,03/03/16,1,2,1,1,0,0,
Citadines,Citadines,03/03/16,1,2,5,5,0,1,
Djaima,Djaima,03/03/16,2,3,13,13,0,3,
Francois Gautier,Auromodele,03/03/16,0,6,0,0,0,0,
Mayaura Bhakti,Auromodele,03/03/16,0,2,1,1,0,0,
Sharnga GH,Residential Zone,03/03/16,1,4,4,4,0,0,
Visitor Center,Visitor Center,03/03/16,1,2,6,6,0,1,
Sunlit Future,Auroshilpam,03/03/16,0,4,3,3,0,0,
Miracle,Miracle,08/03/16,1,0,3,3,0,1,
Isaiamblam GH,Kottakarai,08/03/16,1,2,4,4,0,1,
Isaiamblam GH,Kottakarai,08/03/16,1,0,4,2,0,0,
Afsanah GH,Kottakarai,08/03/16,0,4,3,2,0,0,
Naturellement,Udyogam,08/03/16,1,2,3,4,0,1,
Vikram Maya,Gaia,08/03/16,2,0,3,3,0,0,
Solar kitchen,Solar Kitchen,08/03/16,5,0,4,4,0,1,
Kiosk Cycle Service,Solar Kitchen,08/03/16,0,3,0,0,0,0,
Svaram,Kottakarai,09/03/16,0,2,4,8,0,1,
Courage,Courage,09/03/16,1,0,5,5,0,2,
Sailam,Sailam,09/03/16,1,0,2,2,0,0,
"Arati 1,2",Arati,09/03/16,1,1,5,5,0,1,
AV Foundation,Town Hall,09/03/16,0,2,1,1,0,0,
Pony Farm,Pony Farm,09/03/16,0,0,2,1,0,0,
Center GH,Center Field,09/03/16,0,0,2,2,0,1,
Matrimandir,Matrimandir,09/03/16,0,4,8,7,0,2,
Youth Center,Youth Center,09/03/16,1,2,6,6,0,0,
Nilatangam,Nilatangam,10/03/16,0,2,0,0,0,0,
Francois Gautier,Auromodele,10/03/16,0,4,3,3,0,0,
Sundar,Douceur,10/03/16,5,0,0,0,0,0,
Fraternity Community,Fraternity,10/03/16,5,10,10,10,0,0,
The Colours of Nature,Kottakarai,10/03/16,0,3,4,4,0,2,
Pitchandikulam,Pitchandikulam,11/03/16,0,10,7,8,0,0,
New Era School,Aspiration,11/03/16,0,2,4,4,0,0,
Thomas,Gratitude,11/03/16,0,2,0,0,0,0,
Maitreye 2,Residential Zone,11/03/16,1,4,6,6,0,1,
Maitreye 1,Residential Zone,11/03/16,1,0,4,5,0,0,
Soniya Novase,Acceptance,11/03/16,0,0,3,0,0,1,
Botanical Garden,Botanical Garden,11/03/16,0,2,6,6,0,3,
Nasim,Botanical Garden,11/03/16,0,3,0,0,0,2,
Prarthna,Residential Zone,12/03/16,1,2,9,9,0,2,
AV Paper,Aspiration,14/03/16,0,0,2,8,0,0,
Pour Tous,Aspiration,14/03/16,0,0,7,7,0,0,
Aspiration Community,Aspiration,14/03/16,1,4,2,2,0,0,
AV Press,Aspiration,14/03/16,0,0,1,2,0,1,
Marc's Cafe,Kuilapalayam,14/03/16,0,2,1,1,0,0,
Visitor Center,Visitor Center,14/03/16,2,2,6,5,0,1,
Auro Creation,International Zone,16/03/16,0,2,2,2,0,0,
Upasana,Auroshilpam,16/03/16,0,0,2,2,0,6,
Aurosarjan,Auroshilpam,16/03/16,1,0,16,7,0,7,
Verite GH,Kottakarai,16/03/16,0,2,4,4,0,4,
Adventure,Adventure,17/03/16,0,2,2,2,0,0,
Certitude,Certitude,17/03/16,0,0,0,0,0,3,
Courage,Courage,17/03/16,1,0,6,6,0,2,
Naturellement,Udyogam,17/03/16,1,1,4,2,0,0,
Auro Soya,Udyogam,17/03/16,1,0,3,2,0,0,
Mantra Pottery,Yantra,17/03/16,1,1,2,2,0,0,
Dehashakti Sports,Dana,17/03/16,0,0,2,2,0,1,
Dana Community,Dana,17/03/16,1,2,7,7,0,1,
Mandala Pottery,Dana,17/03/16,0,0,2,2,0,0,
Baraka,Baraka,18/03/16,0,0,0,0,0,0,
Auromode,Auroshilpam,18/03/16,1,2,6,8,0,2,
Quiet Community,Quiet,19/03/16,1,2,2,2,0,0,
Quiet Healing Center,Quiet,19/03/16,1,0,3,0,0,4,
Samarpanam,Periyamudaliarchavadi,19/03/16,1,2,2,0,0,0,
Sasi Somu /Grace,Douceur,19/03/16,0,0,4,0,0,0,
Malarchi,Kuilapalayam,19/03/16,1,0,3,2,0,0,
Newlands,GB South,19/03/16,2,4,3,3,0,0,
Realization,Realization,19/03/16,1,2,5,4,0,1,
Grace,Grace,19/03/16,2,1,8,8,0,2,
Kalabhumi,Kalabhumi,19/03/16,1,1,7,4,0,0,
Sharnga,Sharnga,21/03/16,2,2,5,5,0,1,
Swayam,Swayam,21/03/16,1,2,8,8,0,1,
Prayatana ,Prayatna,21/03/16,0,0,2,0,0,0,
Citadines,Citadines,21/03/16,1,2,5,5,0,0,
SAIIER,Town Hall,21/03/16,1,0,5,4,0,0,
Promesse,Promesse,21/03/16,0,4,6,6,0,0,
Samasti,Samasti,14/03/16,2,2,5,5,0,1,
Sante Clinic,Sante,14/03/16,1,0,5,5,0,1,
KOFPU,Kottakarai,14/03/16,0,3,4,4,0,0,
Lively Boutique,Kottakarai,14/03/16,0,0,0,2,0,6,
Red Earth,Brihaspathi,15/03/16,3,30,6,6,0,2,
Surrender,Surrender,15/03/16,2,2,9,9,0,3,
Transformation Com,Transformation,15/03/16,1,4,4,4,0,0,
Solar kitchen,Solar Kitchen,15/03/16,3,0,5,5,0,2,
Sandrine & Sumeet,Sukhavati,16/03/16,0,0,2,2,0,0,
Emanuele,Sukhavati,16/03/16,0,0,1,1,0,0,
Herve,Sukhavati,16/03/16,0,1,0,1,0,0,
Claire,Sukhavati,16/03/16,0,0,1,0,0,0,
Jana,Sukhavati,16/03/16,0,0,1,1,0,0,
Creativity,Creativity,16/03/16,1,2,6,6,0,1,
Vikas,Vikas,16/03/16,2,3,5,5,0,7,
Auro Orchard,Auro Orchard,21/03/16,1,4,0,0,0,0,
Kalarigramam,NON AV,21/03/16,0,4,0,0,0,0,
International House,International Zone,21/03/16,1,2,2,2,0,0,
Visitor Center,Visitor Center,21/03/16,1,2,4,4,0,1,
Darkali,Darkali,21/03/16,0,2,14,4,0,0,
Auro Annam,Auro Annam,22/03/16,0,2,3,3,0,0,
Tom & Petra,Discipline,22/03/16,1,0,2,1,0,0,
Stephanie,Discipline,22/03/16,0,0,1,1,0,0,
Discipline Farm,Discipline,22/03/16,1,0,4,3,0,0,
Solar kitchen,Solar Kitchen,22/03/16,2,0,4,4,0,1,
Courage,Courage,22/03/16,0,0,4,4,0,0,
Revelation,Revelation,22/03/16,1,0,5,6,0,1,
Sve Dame,Sve Dame,22/03/16,4,2,9,9,0,2,
Celebration NC,Celebration,22/03/16,0,1,3,3,0,0,
Serendipity,Center Field,23/03/16,1,2,6,2,0,2,
Aurodam,Aurodam,23/03/16,2,2,8,8,0,0,
Center GH,Center Field,23/03/16,1,1,3,3,0,2,
Kindergarten,Center Field,23/03/16,0,0,2,2,0,1,
Utility,Utility,24/03/16,4,6,8,8,0,2,
Oli School ,Aspiration,24/03/16,0,0,2,2,0,0,
Health Center,Aspiration,24/03/16,0,0,3,4,0,0,
Dental Center,Protection,24/03/16,0,0,0,0,0,1,
Water service,Prayatna,24/03/16,0,4,4,3,0,1,
Aurovelo,Reve,24/03/16,0,4,6,6,0,0,
Certitude,Certitude,24/03/16,2,20,0,8,0,4,
Sasi Somu /Grace,Douceur,25/03/16,1,2,0,0,0,0,
Hemanth ,Auromodele,25/03/16,0,2,0,0,0,0,
Latha,Auromodele,25/03/16,0,1,0,0,0,0,
Pierre ,Auromodele,25/03/16,0,1,1,1,0,2,
Kalabhumi,Kalabhumi,25/03/16,0,8,0,0,0,0,
Cebrev ,Auromodele,25/03/16,0,0,1,1,0,0,
Auroville Library,Auroville Library,25/03/16,0,0,2,2,0,0,
Sante Clinic,Sante,25/03/16,0,0,2,2,0,0,
Gas Service,Service area,25/03/16,0,3,0,0,0,0,
Invocation,Invocation,25/03/16,2,2,8,10,0,1,
Samata,Transformation,25/03/16,1,0,3,4,0,1,
Afsanah GH,Kottakarai,26/03/16,0,5,2,2,0,0,
Bharat Nivas,Bharat Nivas,26/03/16,2,4,0,0,0,0,
Auromode,Auroshilpam,26/03/16,0,6,0,0,41,0,
Batsala & Anadi,Felicity,28/03/16,0,0,2,2,0,2,
AV Paper,Aspiration,28/03/16,0,0,2,4,0,0,
Pour Tous,Aspiration,28/03/16,2,0,4,10,0,0,
Aspiration Community,Aspiration,28/03/16,0,0,3,3,0,0,
AV Press,Aspiration,28/03/16,0,0,0,2,0,1,
Mayaura Bhakti,Auromodele,28/03/16,0,4,0,0,0,0,
Supriya,Petite Ferme,28/03/16,0,0,2,2,0,1,
Auromics,Kottakarai,28/03/16,0,4,5,6,0,7,
Glenn,Anusuya,29/03/16,0,0,1,0,0,1,
Govinda ,Anusuya,29/03/16,0,0,2,0,0,0,
Ange and Paul,Samriddhi,29/03/16,1,0,4,3,0,0,
Diego,Samriddhi,29/03/16,0,0,3,3,0,0,
Sharnga GH,Residential Zone,29/03/16,1,2,4,4,0,2,
Sharnga GH,Residential Zone,29/03/16,0,1,1,1,0,0,
CSR,Auroshilpam,29/03/16,1,0,4,3,0,0,
Solar kitchen,Solar Kitchen,29/03/16,1,0,3,4,0,2,
Svaram,Kottakarai,29/03/16,1,2,4,6,0,2,
Grace,Grace,30/03/16,2,0,4,6,0,2,
Surrender,Surrender,30/03/16,2,2,7,6,0,3,
Kailash,Kailash,30/03/16,2,0,4,4,0,1,
Center GH,Center Field,30/03/16,0,0,2,2,0,1,
Shradhanjali,Auroshilpam,30/03/16,0,0,2,6,0,0,
Pitchandikulam,Pitchandikulam,30/03/16,0,14,0,0,0,2,
Town Hall,Town Hall,30/03/16,0,5,12,12,0,2,
Upasana,Auroshilpam,31/03/16,0,0,2,2,0,5,
Isai Ambalam School,Kottakarai,31/03/16,0,0,4,4,0,1,
Isaiamblam GH,Kottakarai,31/03/16,2,0,4,3,0,2,
Isaiamblam GH,Kottakarai,31/03/16,1,0,2,1,0,2,
Johnny,Fertile,31/03/16,2,1,4,4,0,3,
CSR,Auroshilpam,31/03/16,0,6,0,0,0,0,
Naturellement,Udyogam,31/03/16,2,2,2,2,0,0,
Udavi School,Udavi School,01/04/16,0,7,3,4,0,2,
Impermanence,Impermanence,01/04/16,0,0,2,2,0,0,
Citadines,Citadines,01/04/16,1,0,5,5,0,1,
Mitra,Mitra,01/04/16,0,0,5,5,0,2,
Quiet Community,Quiet,02/04/16,1,2,2,2,0,0,
Quiet Healing Center,Quiet,02/04/16,1,0,2,4,0,2,
New Creation Com,Kuilapalayam,02/04/16,5,40,15,15,0,10,
Bharat Nivas,Bharat Nivas,02/04/16,0,6,0,0,0,0,
Ilaignarkal School,Saaram,02/04/16,1,2,3,3,0,0,
Visitor Center,Visitor Center,02/04/16,2,2,5,5,0,1,
Electrical Service,Service Area,04/04/16,0,10,4,4,0,0,
Udavi School,Udavi School,04/04/16,0,2,0,0,0,0,
Buddha Garden,Buddha Garden,04/04/16,1,5,5,5,0,5,
Courage,Courage,04/04/16,1,2,6,6,0,2,
Arka,Arka,04/04/16,1,4,3,3,0,2,
Valantina,Pony Farm,04/04/16,0,0,2,1,1,0,
Visitor Center,Visitor Center,04/04/16,0,1,3,3,0,1,
Udumbu,Udumbu,05/04/16,1,3,4,4,0,0,
Baraka,Baraka,05/04/16,2,2,3,4,0,0,
TLC,Transformation,05/04/16,1,2,2,2,0,10,
Terra Soul,Windarra,05/04/16,2,2,5,5,0,2,
Aurosarjan,Auroshilpam,05/04/16,1,0,10,6,0,6,
Shradhanjali,Auroshilpam,05/04/16,0,0,4,12,0,0,
Earth Institute,Auroshilpam,06/04/16,1,2,2,4,0,0,
Auro Sunshine,Auroshilpam,06/04/16,0,0,3,2,0,0,
Auromode,Auroshilpam,06/04/16,0,15,2,2,0,5,
Fabrice ,Auromodele,06/04/16,0,2,2,2,0,0,
Surya Nivas,Auromodele,06/04/16,1,0,4,5,0,2,
Rita,Arya,06/04/16,0,0,2,2,0,1,
Dilip Kapoor,Pitchandikulam,07/04/16,2,12,0,0,0,0,
Jean Francois,Pitchandikulam,07/04/16,1,0,4,4,0,1,
Serendipity,Center Field,07/04/16,0,1,2,2,0,1,
Center GH,Center Field,07/04/16,0,1,2,2,0,1,
Transformation Com,Transformation,07/04/16,1,2,2,1,0,0,
Solar kitchen,Solar Kitchen,07/04/16,3,2,5,5,0,2,
Kindergarten,Center Field,07/04/16,0,0,2,1,0,0,
Telephone Service,Service Area,08/04/16,0,0,1,1,0,0,
"Arati 1,2",Arati,08/04/16,1,2,5,5,0,1,
Invocation 4,Invocation,08/04/16,0,20,0,0,0,0,
Sandrine & Sumeet,Sukhavati,08/04/16,0,0,1,1,0,0,
Emanuele,Sukhavati,08/04/16,0,0,1,1,0,0,
Aurodam,Aurodam,08/04/16,2,2,5,5,0,0,
Savitri Hostel,Savitri Bhavan,08/04/16,0,2,5,5,0,0,
Transition School,Transformation,09/04/16,1,2,7,8,0,2,
The Colours of Nature,Kottakarai,09/04/16,0,2,3,3,0,2,
Auro Amirtham,Kottakarai,09/04/16,0,4,0,0,0,2,
AV Dizine,Kottakarai,09/04/16,0,2,4,10,0,0,
Palani,Auromodele,09/04/16,0,1,2,2,0,0,
Fraternity Community,Fraternity,09/04/16,1,4,10,10,0,0,
Marc's Cafe,Kuilapalayam,09/04/16,1,2,3,4,0,1,
Ritam & Ira,Sincerity ,09/04/16,2,4,3,3,0,0,
Botanical Garden,Botanical Garden,11/04/16,0,2,4,4,0,0,
Reve GH,Reve,11/04/16,2,4,5,5,0,2,
Reve GH,Reve,11/04/16,0,4,7,7,3,4,
Visitor Center,Visitor Center,12/04/16,1,2,6,6,0,1,
Adventure,Adventure,12/04/16,0,1,2,2,0,0,
Progress Comm,Residential Zone,12/04/16,0,0,3,3,0,0,
Samasti,Samasti,12/04/16,1,2,5,5,0,1,
Maitreye 2,Residential Zone,12/04/16,1,2,9,9,0,2,
Maitreye 2,Residential Zone,12/04/16,1,2,6,6,0,1,
Pony Farm,Pony Farm,12/04/16,1,2,2,2,0,2,
Solar kitchen,Solar Kitchen,12/04/16,1,0,3,3,0,1,
Mita/Tapas,Center Field,12/04/16,0,0,2,2,0,2,
Pour Tous,Aspiration,13/04/16,0,0,8,8,0,0,
AV Paper,Aspiration,13/04/16,0,0,5,5,0,0,
Aspiration Community,Aspiration,13/04/16,1,1,4,2,0,0,
AV Press,Aspiration,13/04/16,0,1,2,2,0,0,
Realization,Realization,13/04/16,1,2,4,4,0,0,
Verite GH,Kottakarai,13/04/16,1,0,4,4,0,4,
Auro Soya,Udyogam,13/04/16,5,0,2,2,0,2,
HERS,Kottakarai,13/04/16,0,0,7,7,0,0,
Certitude,Certitude,15/04/16,2,10,4,4,0,1,
Prarthna,Residential Zone,15/04/16,2,1,6,6,0,2,
Luminosity,Luminosity,15/04/16,1,0,3,3,0,1,
Nolly,Samasti,15/04/16,0,1,1,1,0,0,
Arati 3B,Arati,15/04/16,0,2,2,3,0,0,
Arati 3A,Arati,15/04/16,0,1,2,2,0,1,
Citadines,Citadines,15/04/16,1,0,5,5,0,1,
AV Foundation,Town Hall,15/04/16,0,1,2,2,0,0,
Nilatangam,Nilatangam,16/04/16,0,0,2,0,0,0,
Petite Ferme Com,Kuilapalayam,16/04/16,1,1,2,2,0,0,
Tanto ,New Creation,16/04/16,0,20,0,0,0,0,
Bharat Nivas,Bharat Nivas,16/04/16,0,7,0,0,0,2,
Matrimandir,Matrimandir,16/04/16,0,12,9,12,0,8,
Saracon,Kottakarai,18/04/16,0,2,4,4,1,2,
Svaram,Kottakarai,18/04/16,0,4,5,5,0,1,
Afsanah GH,Kottakarai,18/04/16,0,2,3,3,0,0,
Naturellement,Udyogam,18/04/16,2,2,3,3,0,1,
Discipline Farm,Discipline,18/04/16,0,0,3,3,0,0,
Sadhana Forest,Sadhana Forest,19/04/16,0,4,27,6,33,0,
Solar kitchen,Solar Kitchen,19/04/16,1,0,4,4,0,1,
Humility,Humility,19/04/16,1,2,5,5,0,0,
Petite Ferme Com,Kuilapalayam,20/04/16,0,4,2,0,0,0,
Hemanth ,Auromodele,20/04/16,0,3,0,0,0,0,
Sang,Auromodele,20/04/16,0,3,0,1,0,0,
Conscious Living ,Fraternity,20/04/16,0,2,1,1,0,0,
Serendipity,Center Field,20/04/16,0,1,2,2,0,0,
Aurodam,Aurodam,20/04/16,2,1,7,7,0,0,
Center GH,Center Field,20/04/16,0,0,2,2,0,1,
Nandanam School,Center Field,20/04/16,0,0,2,4,0,1,
Kindergarten,Center Field,20/04/16,0,0,2,2,0,0,
Upasana,Auroshilpam,21/04/16,0,0,2,2,0,6,
Future School,Transformation,21/04/16,0,2,3,3,0,0,
Daniel,Sharnga,21/04/16,1,0,3,3,0,0,
African Pavilion,International Zone,21/04/16,0,3,0,0,0,4,
Courage,Courage,21/04/16,1,2,6,6,0,1,
Prayatana ,Prayatna,21/04/16,1,0,3,3,0,0,
Karthik,Sincerity ,21/04/16,1,0,2,2,0,0,
Botanical Garden,Botanical Garden,22/04/16,0,2,3,3,0,0,
Aurovelo,Reve,22/04/16,0,0,5,5,0,0,
Surrender,Surrender,22/04/16,2,2,7,7,0,3,
Celebration NC,Celebration,22/04/16,0,0,3,3,0,0,
Creativity,Creativity,22/04/16,2,4,7,7,0,0,
Sante Clinic,Sante,22/04/16,0,0,2,2,0,0,
Citadines,Citadines,22/04/16,0,0,3,3,0,0,
Quiet Community,Quiet,23/04/16,0,5,0,2,0,0,
Quiet Healing Center,Quiet,23/04/16,0,0,2,2,0,4,
Capability,Shakti,23/04/16,0,0,1,1,0,0,
Walter and Tina ,Shakti,23/04/16,1,2,5,4,0,0,
Anand,Shakti,23/04/16,0,2,4,0,0,0,
Grace,Grace,23/04/16,2,1,8,8,0,2,
Eternity,Eternity,25/04/16,1,1,5,5,0,0,
Utility,Utility,25/04/16,1,2,5,5,1,2,
Deepam School,Aspiration,25/04/16,0,4,3,3,0,0,
Shantal House,Auromodele,25/04/16,0,0,4,4,0,1,
Alain B,Auromodele,25/04/16,1,0,3,4,0,0,
Andre/ Betty,Auromodele,25/04/16,0,3,0,0,0,0,
Romas Kitchen,Auromodele,25/04/16,0,1,3,3,0,0,
Visitor Center,Visitor Center,25/04/16,1,1,4,4,0,1,
Aurospirul,Windarra,25/04/16,0,0,12,0,0,0,
Yantra,Yantra,26/04/16,1,1,2,2,0,0,
Michael &Valerie,Center Field,26/04/16,2,2,2,2,0,0,
Invocation,Invocation,26/04/16,2,2,6,6,0,0,
Maitreye 2,Residential Zone,26/04/16,1,2,5,5,0,1,
Maitreye 1,Residential Zone,26/04/16,1,2,5,5,0,1,
Solar kitchen,Solar Kitchen,26/04/16,2,0,5,5,0,1,
Sailam,Sailam,26/04/16,1,0,2,2,0,1,
Swayam,Swayam,26/04/16,1,2,6,6,0,1,
Town Hall,Town Hall,27/04/16,1,3,10,10,0,3,
Aurosarjan,Auroshilpam,27/04/16,1,0,12,8,0,10,
Miracle,Miracle,27/04/16,1,2,5,5,0,2,
Aurodam,Aurodam,27/04/16,0,0,2,2,0,1,
Serendipity,Center Field,27/04/16,0,0,1,1,0,1,
Center GH,Center Field,27/04/16,0,0,4,1,0,0,
Isaiamblam GH,Kottakarai,28/04/16,0,2,2,2,0,0,
Isaiamblam GH,Kottakarai,28/04/16,4,2,3,3,0,1,
Alok ,Auroshilpam,28/04/16,1,2,4,10,0,2,
Language Lab,International Zone,28/04/16,0,8,0,0,0,20,
Dana Community,Dana,30/04/16,2,0,9,9,0,3,
Mandala Pottery,Dana,30/04/16,0,2,4,4,0,0,
Espace,Espace,30/04/16,1,1,2,1,0,0,
Filaure,Auroshilpam,30/04/16,0,0,0,0,0,5,
La Ferme Cheese,Kuilapalayam,30/04/16,0,2,0,0,0,0,
Dr Uma,Auromodele,30/04/16,0,0,1,1,0,0,
Petite Ferme Com,Kuilapalayam,30/04/16,1,1,3,1,0,0,
Djaima,Djaima,30/04/16,3,0,12,12,0,1,
Mitra,Mitra,02/05/16,0,0,3,3,0,1,
Citadines,Citadines,02/05/16,1,0,3,3,0,1,
Pony Farm,Pony Farm,02/05/16,0,2,2,2,0,0,
Valantina,Pony Farm,02/05/16,0,0,2,2,0,1,
Well Papaer,Kottakarai,02/05/16,0,10,5,19,0,0,
Last School,Transformation,02/05/16,1,0,4,6,0,0,
Tine,Aurogreen,02/05/16,1,0,2,0,0,1,
Jana,Fertile Field,02/05/16,1,4,10,0,0,2,
Visitor Center,Visitor Center,02/05/16,1,1,3,4,0,1,
Sabastian,Auromodele,03/05/16,1,2,4,4,0,0,
Domani 1,Auromodele,03/05/16,0,4,0,0,0,0,
Fabrice ,Auromodele,03/05/16,0,2,1,0,0,0,
Domani 1,Auromodele,03/05/16,0,5,0,0,0,0,
New Creation Com,Kuilapalayam,03/05/16,1,4,1,1,0,1,
Christoph,Anusuya,03/05/16,1,0,2,2,0,0,
Govinda ,Anusuya,03/05/16,1,0,1,1,0,0,
Nico  ,Gaia,03/05/16,2,0,3,4,0,1,
Solar kitchen,Solar Kitchen,03/05/16,2,0,4,4,0,1,
Kalabhumi,Kalabhumi,03/05/16,0,4,2,2,0,0,
Alice ,Kalabhumi,03/05/16,0,0,0,0,2,0,
Stephanie,Discipline,03/05/16,0,0,2,1,0,0,
Thomas,Gratitude,04/05/16,0,4,0,0,0,0,
Certitude,Certitude,04/05/16,1,10,0,0,8,0,
Sharnga,Sharnga,04/05/16,1,0,4,4,1,0,
Sharnga,Sharnga,04/05/16,1,1,4,4,0,0,
Soniya Novase,Acceptance,04/05/16,0,0,2,0,0,0,
Adventure,Adventure,04/05/16,0,1,1,2,0,0,
Courage,Courage,04/05/16,1,2,8,8,0,1,
Center GH,Center Field,04/05/16,0,0,2,2,0,1,
Nandanam School,Center Field,04/05/16,0,0,0,2,0,0,
Felicity,Felicity,05/05/16,1,1,2,2,0,0,
Laurance Lafadapp,Lafadapp Non AV,05/05/16,1,2,2,2,0,1,
Jocelyn,Revena,05/05/16,0,4,0,0,0,0,
Jaap ,Revena,05/05/16,0,0,3,0,0,0,
Renu & Wazo,Forecomers,05/05/16,0,0,2,2,0,0,
Matrimandir,Matrimandir,05/05/16,0,4,5,7,0,0,
Tibetan Pavillon,International Zone,05/05/16,1,4,5,5,0,1,
Revelation,Revelation,06/05/16,2,0,4,3,0,1,
Tom & Petra,Discipline,06/05/16,0,0,1,1,0,0,
Auroville ITI ,Aurobrindavan,06/05/16,0,5,5,5,0,0,
Damien,Brihaspathi,06/05/16,1,0,2,0,0,0,
Red Earth,Brihaspathi,06/05/16,1,11,5,5,0,0,
Pour Tous,Aspiration,09/05/16,1,0,11,11,0,0,
AV Paper,Aspiration,09/05/16,0,0,2,6,0,0,
Aspiration Community,Aspiration,09/05/16,0,4,4,4,0,0,
AV Press,Aspiration,09/05/16,0,0,1,6,0,1,
Health Center,Aspiration,09/05/16,1,0,3,7,0,0,
New Creation Com,Kuilapalayam,09/05/16,2,30,12,12,0,4,
